Data,open,high,low,close,vol,avg_temp_leba,short_size
2016-06-22,26.83,26.95,26.75,26.94,186690.0,21.6,0.0
2016-06-23,26.94,27.65,26.65,27.49,233445.0,23.8,0.0
2016-06-24,24.7,26.92,24.5,26.92,497435.0,26.7,0.0
2016-06-27,26.6,26.85,26.3,26.3,163710.0,20.5,0.0
2016-06-28,26.22,27.16,26.22,26.91,183118.0,19.4,0.0
2016-06-29,27.21,27.3,26.95,27.2,170898.0,21.5,0.0
2016-06-30,27.27,27.68,27.0,27.4,348930.0,23.9,0.0
2016-07-01,27.58,27.65,27.22,27.45,130298.0,22.8,0.0
2016-07-04,27.19,27.4,27.0,27.38,119643.0,17.3,0.0
2016-07-05,27.3,27.4,27.21,27.4,21658.0,18.6,0.0
2016-07-06,27.4,27.8,27.23,27.61,244843.0,16.4,0.0
2016-07-07,27.5,28.55,27.5,28.5,457872.0,15.3,0.0
2016-07-08,28.5,28.95,28.35,28.41,217157.0,18.2,0.0
2016-07-11,28.5,28.7,28.2,28.7,141180.0,24.2,0.0
2016-07-12,28.78,29.5,28.72,29.5,447907.0,21.9,0.0
2016-07-13,29.7,29.8,28.77,29.0,219944.0,20.3,0.0
2016-07-14,29.05,29.5,28.94,29.18,64535.0,18.2,0.0
2016-07-15,29.23,31.0,29.23,31.0,511058.0,16.3,0.0
2016-07-18,30.8,32.0,30.55,31.7,264376.0,17.6,0.0
2016-07-19,31.75,31.95,31.4,31.81,167985.0,17.6,0.0
2016-07-20,32.0,33.7,31.87,32.6,467643.0,18.5,0.0
2016-07-21,32.75,33.3,32.7,33.0,263630.0,19.3,0.0
2016-07-22,33.0,33.34,32.64,33.02,367401.0,18.3,0.0
2016-07-25,33.0,33.3,33.0,33.23,215736.0,24.8,0.0
2016-07-26,33.24,33.38,32.98,33.15,127483.0,24.7,0.0
2016-07-27,33.23,33.55,32.49,33.24,284991.0,23.1,0.0
2016-07-28,33.3,33.8,33.0,33.7,138626.0,22.5,0.0
2016-07-29,33.82,34.84,33.7,34.8,318725.0,20.8,0.0
2016-08-01,34.8,35.45,33.3,34.2,362170.0,20.1,0.0
2016-08-02,34.4,34.74,33.6,34.0,208152.0,19.4,0.0
2016-08-03,34.01,34.12,32.75,33.55,312233.0,19.3,0.0
2016-08-04,33.3,33.41,31.9,32.46,369803.0,22.1,0.0
2016-08-05,32.3,32.73,31.81,32.55,323810.0,24.4,0.0
2016-08-08,32.75,33.5,32.75,33.5,315490.0,20.8,0.0
2016-08-09,33.5,34.5,33.5,34.06,273681.0,18.5,0.0
2016-08-10,34.0,34.34,33.45,34.34,210284.0,13.7,0.0
2016-08-11,34.2,34.73,34.0,34.73,308294.0,13.6,0.0
2016-08-12,34.86,35.53,34.8,35.42,304165.0,15.1,0.0
2016-08-16,35.44,35.46,34.59,35.26,241097.0,15.9,0.0
2016-08-17,35.18,35.35,34.9,35.35,188239.0,16.1,0.0
2016-08-18,35.36,35.93,35.24,35.93,437546.0,17.4,0.0
2016-08-19,36.0,36.36,35.8,36.32,193256.0,19.7,0.0
2016-08-22,36.36,37.89,36.2,37.85,266527.0,18.1,0.0
2016-08-23,38.0,38.0,37.31,37.74,435420.0,19.1,0.0
2016-08-24,37.8,37.85,36.67,37.0,321221.0,18.6,0.0
2016-08-25,38.5,39.03,37.61,38.71,354958.0,19.4,0.0
2016-08-26,38.71,40.99,38.71,40.9,1016884.0,20.2,0.0
2016-08-29,41.5,42.91,40.95,42.27,677879.0,22.3,0.0
2016-08-30,42.28,42.28,40.57,41.6,551731.0,17.5,0.0
2016-08-31,41.61,42.5,41.61,42.5,348561.0,17.5,0.0
2016-09-01,42.55,42.7,40.6,41.3,363222.0,18.4,0.0
2016-09-02,41.27,43.0,41.0,42.79,253411.0,18.8,0.0
2016-09-05,43.14,44.5,42.9,43.51,1677371.0,16.1,0.0
2016-09-06,43.51,44.2,43.0,44.09,156788.0,19.2,0.0
